Protein N PDB Exp_DG TMPFold PDBePisa PRODIGY BRANEart
GLPA 2 1afo   -7.00  -6.60  -12.60   -3.90	3.3
TNR16_C257A 2 2mjo   -0.90  -0.70  -9.50   -4.50	1.2
VGFR2 2 2m59   -2.50  -1.70  -15.40   -1.40	0.92
ERBB1 2 2m0b   -2.50  -1.10  -17.70   -3.60	0.91
ERBB1_M650L/M668I 2 2m20   -2.50  -3.90  -12.40   -3.30	0.88
ERBB4 2 2l2t   -2.60  -2.10  -13.70   -2.20	1.4
ERBB3 2 2l9u   -0.30  0.30  -13.40   -4.10	-0.06
EPHA1 2 2k1l   -3.70  -1.70  -10.20   -0.30	1.
EPHA2 2 2k9y   -5.00  -2.30  -12.00   -1.40	1.3
TLR3 2 2mka   -1.80  -2.40  -9.40   -2.20	0.87
FGFR3 2 2lzl   -5.20  -6.40  -20.10   -2.90	1.3
VGFR_G770E 2 2meu   -3.20  -7.80  -13.90   -4.90	1.6
M2channel 4 6bkk   -11.20  -11.80  -36.40   -10.20	4.5
M2channel_S31N 4 6mjh   -12.40  -16.50  -32.40   -15.20	3.8
Integrin_α2β3 2 2knc   -4.84  -2.70  -15.90   -2.50	0.87
Integrin_α2β3_A711P 2 2n9y   -5.66  -2.70  -22.50   -2.40	2.7
